Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:00.800,24
2,00:00:00.800,24,00:00:01.400,42
3,00:00:01.400,42,00:00:01.900,57
4,00:00:01.900,57,00:00:02.433,73
5,00:00:02.433,73,00:00:04.533,136
6,00:00:04.533,136,00:00:05.767,173
7,00:00:05.767,173,00:00:08.000,240
8,00:00:08.000,240,00:00:08.667,260
9,00:00:08.667,260,00:00:10.367,311
10,00:00:10.367,311,00:00:11.867,356
11,00:00:11.867,356,00:00:14.300,429
12,00:00:14.300,429,00:00:15.400,462
13,00:00:15.400,462,00:00:17.933,538
14,00:00:17.933,538,00:00:19.067,572
15,00:00:19.067,572,00:00:20.033,601
16,00:00:20.033,601,00:00:20.733,622
17,00:00:20.733,622,00:00:21.867,656
18,00:00:21.867,656,00:00:23.600,708
19,00:00:23.600,708,00:00:24.533,736
20,00:00:24.533,736,00:00:26.800,804
21,00:00:26.800,804,00:00:28.933,868
22,00:00:28.933,868,00:00:29.433,883
23,00:00:29.433,883,00:00:31.067,932
24,00:00:31.067,932,00:00:31.933,958
25,00:00:31.933,958,00:00:32.500,975
26,00:00:32.500,975,00:00:33.867,1016
27,00:00:33.867,1016,00:00:34.833,1045
28,00:00:34.833,1045,00:00:37.067,1112
29,00:00:37.067,1112,00:00:38.800,1164
30,00:00:38.800,1164,00:00:41.567,1247
31,00:00:41.567,1247,00:00:43.267,1298
32,00:00:43.267,1298,00:00:44.700,1341
33,00:00:44.700,1341,00:00:45.233,1357
34,00:00:45.233,1357,00:00:46.533,1396
35,00:00:46.533,1396,00:00:47.467,1424
36,00:00:47.467,1424,00:00:48.433,1453
37,00:00:48.433,1453,00:00:49.233,1477
38,00:00:49.233,1477,00:00:50.200,1506
39,00:00:50.200,1506,00:00:53.267,1598
40,00:00:53.267,1598,00:00:54.233,1627
41,00:00:54.233,1627,00:00:56.000,1680
42,00:00:56.000,1680,00:00:57.867,1736
43,00:00:57.867,1736,00:00:58.400,1752
44,00:00:58.400,1752,00:01:02.167,1865
45,00:01:02.167,1865,00:01:03.767,1913
46,00:01:03.767,1913,00:01:06.167,1985
47,00:01:06.167,1985,00:01:06.967,2009
48,00:01:06.967,2009,00:01:08.233,2047
49,00:01:08.233,2047,00:01:11.267,2138
50,00:01:11.267,2138,00:01:13.633,2209
51,00:01:13.633,2209,00:01:15.100,2253
52,00:01:15.100,2253,00:01:19.633,2389
53,00:01:19.633,2389,00:01:20.267,2408
54,00:01:20.267,2408,00:01:21.033,2431
55,00:01:21.033,2431,00:01:22.500,2475
56,00:01:22.500,2475,00:01:27.033,2611
57,00:01:27.033,2611,00:01:27.767,2633
58,00:01:27.767,2633,00:01:28.600,2658
59,00:01:28.600,2658,00:01:29.433,2683
60,00:01:29.433,2683,00:01:30.900,2727
61,00:01:30.900,2727,00:01:32.133,2764
62,00:01:32.133,2764,00:01:34.367,2831
63,00:01:34.367,2831,00:01:35.433,2863
64,00:01:35.433,2863,00:01:39.033,2971
65,00:01:39.033,2971,00:01:42.033,3061
66,00:01:42.033,3061,00:01:43.667,3110
67,00:01:43.667,3110,00:01:46.500,3195
68,00:01:46.500,3195,00:01:47.233,3217
69,00:01:47.233,3217,00:01:48.167,3245
70,00:01:48.167,3245,00:01:49.267,3278
71,00:01:49.267,3278,00:01:51.000,3330
72,00:01:51.000,3330,00:01:52.300,3369
73,00:01:52.300,3369,00:01:55.267,3458
74,00:01:55.267,3458,00:01:57.733,3532
75,00:01:57.733,3532,00:01:59.833,3595
76,00:01:59.833,3595,00:02:01.867,3656
77,00:02:01.867,3656,00:02:03.967,3719
78,00:02:03.967,3719,00:02:05.667,3770
79,00:02:05.667,3770,00:02:07.200,3816
80,00:02:07.200,3816,00:02:07.800,3834
81,00:02:07.800,3834,00:02:08.333,3850
82,00:02:08.333,3850,00:02:11.267,3938
83,00:02:11.267,3938,00:02:15.467,4064
84,00:02:15.467,4064,00:02:16.767,4103
85,00:02:16.767,4103,00:02:19.200,4176
86,00:02:19.200,4176,00:02:21.267,4238
87,00:02:21.267,4238,00:02:24.400,4332
88,00:02:24.400,4332,00:02:25.633,4369
89,00:02:25.633,4369,00:02:27.800,4434
90,00:02:27.800,4434,00:02:29.367,4481
91,00:02:29.367,4481,00:02:29.967,4499
92,00:02:29.967,4499,00:02:30.933,4528
93,00:02:30.933,4528,00:02:32.933,4588
94,00:02:32.933,4588,00:02:33.733,4612
95,00:02:33.733,4612,00:02:34.500,4635
96,00:02:34.500,4635,00:02:35.033,4651
97,00:02:35.033,4651,00:02:35.967,4679
98,00:02:35.967,4679,00:02:39.233,4777
99,00:02:39.233,4777,00:02:41.633,4849
100,00:02:41.633,4849,00:02:42.600,4878
101,00:02:42.600,4878,00:02:43.667,4910
102,00:02:43.667,4910,00:02:44.167,4925
103,00:02:44.167,4925,00:02:44.667,4940
104,00:02:44.667,4940,00:02:45.267,4958
105,00:02:45.267,4958,00:02:45.967,4979
106,00:02:45.967,4979,00:02:49.300,5079
107,00:02:49.300,5079,00:02:50.833,5125
108,00:02:50.833,5125,00:02:52.500,5175
109,00:02:52.500,5175,00:02:55.267,5258
110,00:02:55.267,5258,00:02:56.467,5294
111,00:02:56.467,5294,00:02:56.967,5309
112,00:02:56.967,5309,00:02:57.467,5324
113,00:02:57.467,5324,00:02:57.967,5339
114,00:02:57.967,5339,00:02:58.467,5354
115,00:02:58.467,5354,00:03:00.200,5406
116,00:03:00.200,5406,00:03:01.633,5449
117,00:03:01.633,5449,00:03:02.133,5464
118,00:03:02.133,5464,00:03:02.633,5479
119,00:03:02.633,5479,00:03:03.133,5494
120,00:03:03.133,5494,00:03:04.167,5525
121,00:03:04.167,5525,00:03:05.033,5551
122,00:03:05.033,5551,00:03:08.267,5648
123,00:03:08.267,5648,00:03:12.700,5781
124,00:03:12.700,5781,00:03:13.633,5809
125,00:03:13.633,5809,00:03:14.833,5845
126,00:03:14.833,5845,00:03:15.433,5863
127,00:03:15.433,5863,00:03:18.600,5958
128,00:03:18.600,5958,00:03:21.367,6041
129,00:03:21.367,6041,00:03:22.300,6069
130,00:03:22.300,6069,00:03:23.600,6108
131,00:03:23.600,6108,00:03:24.100,6123
132,00:03:24.100,6123,00:03:24.600,6138
133,00:03:24.600,6138,00:03:25.100,6153
134,00:03:25.100,6153,00:03:25.600,6168
135,00:03:25.600,6168,00:03:27.800,6234
136,00:03:27.800,6234,00:03:30.033,6301
137,00:03:30.033,6301,00:03:32.433,6373
138,00:03:32.433,6373,00:03:33.700,6411
139,00:03:33.700,6411,00:03:35.067,6452
140,00:03:35.067,6452,00:03:36.267,6488
141,00:03:36.267,6488,00:03:36.933,6508
142,00:03:36.933,6508,00:03:39.533,6586
143,00:03:39.533,6586,00:03:42.800,6684
144,00:03:42.800,6684,00:03:44.333,6730
145,00:03:44.333,6730,00:03:47.400,6822
146,00:03:47.400,6822,00:03:49.367,6881
147,00:03:49.367,6881,00:03:51.400,6942
148,00:03:51.400,6942,00:03:52.367,6971
149,00:03:52.367,6971,00:03:53.200,6996
150,00:03:53.200,6996,00:03:56.367,7091
151,00:03:56.367,7091,00:03:57.667,7130
152,00:03:57.667,7130,00:03:59.367,7181
153,00:03:59.367,7181,00:04:05.967,7379
154,00:04:05.967,7379,00:04:09.567,7487
155,00:04:09.567,7487,00:04:14.300,7629
156,00:04:14.300,7629,00:04:17.300,7719
157,00:04:17.300,7719,00:04:18.333,7750
158,00:04:18.333,7750,00:04:20.200,7806
159,00:04:20.200,7806,00:04:20.700,7821
160,00:04:20.700,7821,00:04:23.033,7891
161,00:04:23.033,7891,00:04:23.733,7912
162,00:04:23.733,7912,00:04:27.933,8038
163,00:04:27.933,8038,00:04:29.500,8085
164,00:04:29.500,8085,00:04:32.800,8184
165,00:04:32.800,8184,00:04:34.333,8230
166,00:04:34.333,8230,00:04:36.833,8305
167,00:04:36.833,8305,00:04:38.567,8357
168,00:04:38.567,8357,00:04:41.467,8444
169,00:04:41.467,8444,00:04:42.933,8488
170,00:04:42.933,8488,00:04:49.733,8692
171,00:04:49.733,8692,00:04:50.233,8707
172,00:04:50.233,8707,00:04:50.733,8722
