Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:15.633,469
2,00:00:15.633,469,00:00:23.267,698
3,00:00:23.267,698,00:00:31.400,942
4,00:00:31.400,942,00:01:06.867,2006
5,00:01:06.867,2006,00:01:17.133,2314
6,00:01:17.133,2314,00:01:21.400,2442
7,00:01:21.400,2442,00:01:26.433,2593
8,00:01:26.433,2593,00:01:35.833,2875
9,00:01:35.833,2875,00:01:39.633,2989
10,00:01:39.633,2989,00:01:44.767,3143
11,00:01:44.767,3143,00:01:49.033,3271
12,00:01:49.033,3271,00:01:51.767,3353
13,00:01:51.767,3353,00:01:56.233,3487
14,00:01:56.233,3487,00:01:58.633,3559
15,00:01:58.633,3559,00:02:00.633,3619
16,00:02:00.633,3619,00:02:02.633,3679
17,00:02:02.633,3679,00:02:08.933,3868
18,00:02:08.933,3868,00:02:14.933,4048
19,00:02:14.933,4048,00:02:19.500,4185
20,00:02:19.500,4185,00:02:26.233,4387
21,00:02:26.233,4387,00:02:29.067,4472
22,00:02:29.067,4472,00:02:32.733,4582
23,00:02:32.733,4582,00:02:37.767,4733
24,00:02:37.767,4733,00:02:41.167,4835
25,00:02:41.167,4835,00:02:44.167,4925
26,00:02:44.167,4925,00:02:46.667,5000
27,00:02:46.667,5000,00:02:52.600,5178
28,00:02:52.600,5178,00:02:56.967,5309
29,00:02:56.967,5309,00:02:59.833,5395
30,00:02:59.833,5395,00:03:05.700,5571
31,00:03:05.700,5571,00:03:07.433,5623
32,00:03:07.433,5623,00:03:11.467,5744
33,00:03:11.467,5744,00:03:17.500,5925
34,00:03:17.500,5925,00:03:24.633,6139
35,00:03:24.633,6139,00:03:32.267,6368
36,00:03:32.267,6368,00:03:34.867,6446
37,00:03:34.867,6446,00:03:39.933,6598
38,00:03:39.933,6598,00:03:46.100,6783
39,00:03:46.100,6783,00:03:53.067,6992
40,00:03:53.067,6992,00:03:55.533,7066
41,00:03:55.533,7066,00:03:59.533,7186
42,00:03:59.533,7186,00:04:02.167,7265
43,00:04:02.167,7265,00:04:16.633,7699
44,00:04:16.633,7699,00:04:25.967,7979
45,00:04:25.967,7979,00:04:32.733,8182
46,00:04:32.733,8182,00:04:36.267,8288
47,00:04:36.267,8288,00:04:39.100,8373
48,00:04:39.100,8373,00:04:48.133,8644
49,00:04:48.133,8644,00:04:52.533,8776
50,00:04:52.533,8776,00:04:56.033,8881
51,00:04:56.033,8881,00:05:04.733,9142
52,00:05:04.733,9142,00:05:14.133,9424
53,00:05:14.133,9424,00:05:18.167,9545
54,00:05:18.167,9545,00:05:22.033,9661
55,00:05:22.033,9661,00:05:25.033,9751
56,00:05:25.033,9751,00:05:29.367,9881
57,00:05:29.367,9881,00:05:33.633,10009
58,00:05:33.633,10009,00:05:37.867,10136
59,00:05:37.867,10136,00:05:40.867,10226
60,00:05:40.867,10226,00:05:43.433,10303
61,00:05:43.433,10303,00:05:46.067,10382
62,00:05:46.067,10382,00:05:47.833,10435
63,00:05:47.833,10435,00:05:59.167,10775
64,00:05:59.167,10775,00:06:05.200,10956
65,00:06:05.200,10956,00:06:18.833,11365
66,00:06:18.833,11365,00:06:22.667,11480
67,00:06:22.667,11480,00:06:29.267,11678
68,00:06:29.267,11678,00:06:32.000,11760
69,00:06:32.000,11760,00:06:33.867,11816
70,00:06:33.867,11816,00:06:45.867,12176
71,00:06:45.867,12176,00:06:48.000,12240
72,00:06:48.000,12240,00:06:48.867,12266
73,00:06:48.867,12266,00:06:55.000,12450
74,00:06:55.000,12450,00:07:03.800,12714
75,00:07:03.800,12714,00:07:13.733,13012
76,00:07:13.733,13012,00:07:20.533,13216
77,00:07:20.533,13216,00:07:31.700,13551
78,00:07:31.700,13551,00:07:41.767,13853
79,00:07:41.767,13853,00:07:47.800,14034
80,00:07:47.800,14034,00:07:56.200,14286
81,00:07:56.200,14286,00:08:03.400,14502
82,00:08:03.400,14502,00:08:09.400,14682
83,00:08:09.400,14682,00:08:15.867,14876
84,00:08:15.867,14876,00:08:19.833,14995
85,00:08:19.833,14995,00:08:26.767,15203
86,00:08:26.767,15203,00:08:28.800,15264
87,00:08:28.800,15264,00:08:36.233,15487
88,00:08:36.233,15487,00:08:41.467,15644
89,00:08:41.467,15644,00:08:44.300,15729
90,00:08:44.300,15729,00:08:46.667,15800
91,00:08:46.667,15800,00:08:53.600,16008
92,00:08:53.600,16008,00:08:58.967,16169
93,00:08:58.967,16169,00:09:00.500,16215
94,00:09:00.500,16215,00:09:02.867,16286
95,00:09:02.867,16286,00:09:08.333,16450
96,00:09:08.333,16450,00:09:15.000,16650
97,00:09:15.000,16650,00:09:18.433,16753
98,00:09:18.433,16753,00:09:23.433,16903
99,00:09:23.433,16903,00:09:29.200,17076
100,00:09:29.200,17076,00:09:32.567,17177
101,00:09:32.567,17177,00:09:40.000,17400
102,00:09:40.000,17400,00:09:46.967,17609
103,00:09:46.967,17609,00:09:49.167,17675
104,00:09:49.167,17675,00:09:51.600,17748
105,00:09:51.600,17748,00:09:57.967,17939
106,00:09:57.967,17939,00:10:00.333,18010
107,00:10:00.333,18010,00:10:04.867,18146
108,00:10:04.867,18146,00:10:07.467,18224
109,00:10:07.467,18224,00:10:08.800,18264
110,00:10:08.800,18264,00:10:10.733,18322
111,00:10:10.733,18322,00:10:12.200,18366
112,00:10:12.200,18366,00:10:13.333,18400
113,00:10:13.333,18400,00:10:16.867,18506
114,00:10:16.867,18506,00:10:19.300,18579
115,00:10:19.300,18579,00:10:21.500,18645
116,00:10:21.500,18645,00:10:23.900,18717
117,00:10:23.900,18717,00:10:29.167,18875
118,00:10:29.167,18875,00:10:31.800,18954
119,00:10:31.800,18954,00:10:34.400,19032
120,00:10:34.400,19032,00:10:39.900,19197
121,00:10:39.900,19197,00:10:49.400,19482
122,00:10:49.400,19482,00:10:57.733,19732
123,00:10:57.733,19732,00:11:00.367,19811
124,00:11:00.367,19811,00:11:12.600,20178
125,00:11:12.600,20178,00:11:21.767,20453
126,00:11:21.767,20453,00:11:26.600,20598
127,00:11:26.600,20598,00:11:29.033,20671
128,00:11:29.033,20671,00:11:31.433,20743
129,00:11:31.433,20743,00:11:34.433,20833
130,00:11:34.433,20833,00:11:38.267,20948
131,00:11:38.267,20948,00:11:40.900,21027
132,00:11:40.900,21027,00:11:43.233,21097
133,00:11:43.233,21097,00:11:57.100,21513
134,00:11:57.100,21513,00:12:02.267,21668
135,00:12:02.267,21668,00:12:06.267,21788
136,00:12:06.267,21788,00:12:09.600,21888
137,00:12:09.600,21888,00:12:17.267,22118
138,00:12:17.267,22118,00:12:21.333,22240
139,00:12:21.333,22240,00:12:25.333,22360
140,00:12:25.333,22360,00:12:37.300,22719
141,00:12:37.300,22719,00:12:54.633,23239
142,00:12:54.633,23239,00:12:58.033,23341
143,00:12:58.033,23341,00:13:02.900,23487
144,00:13:02.900,23487,00:13:08.900,23667
145,00:13:08.900,23667,00:13:13.533,23806
146,00:13:13.533,23806,00:13:19.333,23980
147,00:13:19.333,23980,00:13:21.100,24033
148,00:13:21.100,24033,00:13:25.833,24175
149,00:13:25.833,24175,00:13:56.267,25088
150,00:13:56.267,25088,00:14:02.200,25266
151,00:14:02.200,25266,00:14:20.533,25816
152,00:14:20.533,25816,00:14:35.567,26267
153,00:14:35.567,26267,00:14:41.867,26456
154,00:14:41.867,26456,00:14:48.767,26663
155,00:14:48.767,26663,00:15:06.833,27205
156,00:15:06.833,27205,00:15:19.333,27580
157,00:15:19.333,27580,00:15:32.833,27985
158,00:15:32.833,27985,00:16:42.267,30068
