Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:03.733,112
2,00:00:03.733,112,00:00:07.700,231
3,00:00:07.700,231,00:00:16.867,506
4,00:00:16.867,506,00:00:24.567,737
5,00:00:24.567,737,00:00:41.967,1259
6,00:00:41.967,1259,00:00:59.533,1786
7,00:00:59.533,1786,00:01:16.767,2303
8,00:01:16.767,2303,00:01:20.267,2408
9,00:01:20.267,2408,00:01:29.633,2689
10,00:01:29.633,2689,00:01:37.267,2918
11,00:01:37.267,2918,00:02:01.667,3650
12,00:02:01.667,3650,00:02:11.533,3946
13,00:02:11.533,3946,00:02:24.567,4337
14,00:02:24.567,4337,00:03:26.267,6188
15,00:03:26.267,6188,00:04:05.967,7379
16,00:04:05.967,7379,00:04:19.633,7789
17,00:04:19.633,7789,00:05:13.333,9400
18,00:05:13.333,9400,00:05:42.600,10278
19,00:05:42.600,10278,00:06:53.900,12417
20,00:06:53.900,12417,00:07:16.000,13080
21,00:07:16.000,13080,00:07:30.100,13503
22,00:07:30.100,13503,00:07:32.500,13575
23,00:07:32.500,13575,00:07:37.467,13724
24,00:07:37.467,13724,00:07:43.700,13911
25,00:07:43.700,13911,00:07:46.267,13988
26,00:07:46.267,13988,00:07:52.500,14175
27,00:07:52.500,14175,00:08:09.867,14696
28,00:08:09.867,14696,00:08:25.000,15150
29,00:08:25.000,15150,00:08:28.567,15257
30,00:08:28.567,15257,00:08:35.533,15466
31,00:08:35.533,15466,00:08:42.000,15660
32,00:08:42.000,15660,00:08:44.933,15748
33,00:08:44.933,15748,00:09:16.033,16681
34,00:09:16.033,16681,00:09:48.800,17664
35,00:09:48.800,17664,00:09:53.567,17807
36,00:09:53.567,17807,00:10:25.167,18755
37,00:10:25.167,18755,00:10:38.967,19169
38,00:10:38.967,19169,00:11:00.333,19810
39,00:11:00.333,19810,00:11:14.600,20238
40,00:11:14.600,20238,00:12:10.467,21914
41,00:12:10.467,21914,00:12:28.300,22449
42,00:12:28.300,22449,00:12:35.067,22652
43,00:12:35.067,22652,00:12:42.633,22879
44,00:12:42.633,22879,00:12:47.000,23010
45,00:12:47.000,23010,00:12:51.400,23142
46,00:12:51.400,23142,00:13:22.200,24066
47,00:13:22.200,24066,00:13:38.733,24562
48,00:13:38.733,24562,00:13:52.800,24984
49,00:13:52.800,24984,00:14:00.933,25228
50,00:14:00.933,25228,00:14:06.300,25389
