Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:00.500,15
2,00:00:00.500,15,00:00:01.000,30
3,00:00:01.000,30,00:00:01.500,45
4,00:00:01.500,45,00:00:02.000,60
5,00:00:02.000,60,00:00:02.500,75
6,00:00:02.500,75,00:00:03.000,90
7,00:00:03.000,90,00:00:03.500,105
8,00:00:03.500,105,00:00:04.000,120
9,00:00:04.000,120,00:00:04.500,135
10,00:00:04.500,135,00:00:05.000,150
11,00:00:05.000,150,00:00:07.800,234
12,00:00:07.800,234,00:00:09.767,293
13,00:00:09.767,293,00:00:10.367,311
14,00:00:10.367,311,00:00:11.300,339
15,00:00:11.300,339,00:00:13.533,406
16,00:00:13.533,406,00:00:17.633,529
17,00:00:17.633,529,00:00:19.133,574
18,00:00:19.133,574,00:00:19.867,596
19,00:00:19.867,596,00:00:21.200,636
20,00:00:21.200,636,00:00:22.300,669
21,00:00:22.300,669,00:00:23.700,711
22,00:00:23.700,711,00:00:24.467,734
23,00:00:24.467,734,00:00:26.133,784
24,00:00:26.133,784,00:00:28.833,865
25,00:00:28.833,865,00:00:31.600,948
26,00:00:31.600,948,00:00:35.200,1056
27,00:00:35.200,1056,00:00:37.767,1133
28,00:00:37.767,1133,00:00:39.133,1174
29,00:00:39.133,1174,00:00:42.100,1263
30,00:00:42.100,1263,00:00:44.200,1326
31,00:00:44.200,1326,00:00:47.533,1426
32,00:00:47.533,1426,00:00:49.933,1498
33,00:00:49.933,1498,00:00:54.200,1626
34,00:00:54.200,1626,00:00:57.200,1716
35,00:00:57.200,1716,00:01:00.133,1804
36,00:01:00.133,1804,00:01:01.867,1856
37,00:01:01.867,1856,00:01:05.767,1973
38,00:01:05.767,1973,00:01:07.333,2020
39,00:01:07.333,2020,00:01:09.033,2071
40,00:01:09.033,2071,00:01:10.133,2104
41,00:01:10.133,2104,00:01:17.333,2320
42,00:01:17.333,2320,00:01:23.633,2509
43,00:01:23.633,2509,00:01:25.167,2555
44,00:01:25.167,2555,00:01:26.367,2591
45,00:01:26.367,2591,00:01:28.500,2655
46,00:01:28.500,2655,00:01:30.367,2711
47,00:01:30.367,2711,00:01:32.967,2789
48,00:01:32.967,2789,00:01:49.000,3270
49,00:01:49.000,3270,00:01:50.867,3326
50,00:01:50.867,3326,00:01:52.767,3383
51,00:01:52.767,3383,00:01:56.167,3485
52,00:01:56.167,3485,00:01:58.700,3561
53,00:01:58.700,3561,00:02:00.867,3626
54,00:02:00.867,3626,00:02:02.967,3689
55,00:02:02.967,3689,00:02:05.167,3755
56,00:02:05.167,3755,00:02:09.333,3880
57,00:02:09.333,3880,00:02:12.833,3985
58,00:02:12.833,3985,00:02:14.300,4029
59,00:02:14.300,4029,00:02:18.033,4141
60,00:02:18.033,4141,00:02:23.167,4295
61,00:02:23.167,4295,00:03:56.800,7104
62,00:03:56.800,7104,00:04:53.100,8793
63,00:04:53.100,8793,00:04:54.433,8833
64,00:04:54.433,8833,00:05:07.000,9210
65,00:05:07.000,9210,00:05:12.833,9385
66,00:05:12.833,9385,00:05:21.600,9648
67,00:05:21.600,9648,00:05:25.133,9754
68,00:05:25.133,9754,00:05:27.267,9818
69,00:05:27.267,9818,00:05:31.967,9959
70,00:05:31.967,9959,00:05:33.333,10000
71,00:05:33.333,10000,00:05:37.767,10133
72,00:05:37.767,10133,00:05:41.833,10255
73,00:05:41.833,10255,00:05:45.533,10366
74,00:05:45.533,10366,00:05:47.133,10414
75,00:05:47.133,10414,00:05:50.600,10518
76,00:05:50.600,10518,00:05:57.000,10710
77,00:05:57.000,10710,00:06:04.433,10933
78,00:06:04.433,10933,00:06:05.433,10963
79,00:06:05.433,10963,00:06:08.600,11058
80,00:06:08.600,11058,00:06:10.300,11109
81,00:06:10.300,11109,00:06:14.600,11238
82,00:06:14.600,11238,00:06:23.500,11505
83,00:06:23.500,11505,00:06:27.000,11610
84,00:06:27.000,11610,00:06:30.433,11713
85,00:06:30.433,11713,00:06:34.033,11821
86,00:06:34.033,11821,00:06:35.333,11860
87,00:06:35.333,11860,00:06:38.800,11964
88,00:06:38.800,11964,00:06:40.467,12014
89,00:06:40.467,12014,00:06:41.633,12049
90,00:06:41.633,12049,00:06:42.667,12080
91,00:06:42.667,12080,00:06:47.100,12213
92,00:06:47.100,12213,00:06:48.700,12261
93,00:06:48.700,12261,00:07:02.433,12673
94,00:07:02.433,12673,00:09:22.033,16861
95,00:09:22.033,16861,00:10:09.800,18294
96,00:10:09.800,18294,00:10:13.000,18390
97,00:10:13.000,18390,00:10:16.533,18496
98,00:10:16.533,18496,00:10:19.267,18578
99,00:10:19.267,18578,00:10:20.433,18613
100,00:10:20.433,18613,00:10:22.033,18661
101,00:10:22.033,18661,00:10:25.667,18770
102,00:10:25.667,18770,00:10:29.367,18881
103,00:10:29.367,18881,00:10:31.300,18939
104,00:10:31.300,18939,00:10:33.467,19004
105,00:10:33.467,19004,00:10:36.167,19085
106,00:10:36.167,19085,00:10:38.367,19151
107,00:10:38.367,19151,00:10:42.200,19266
108,00:10:42.200,19266,00:10:44.200,19326
109,00:10:44.200,19326,00:10:46.633,19399
110,00:10:46.633,19399,00:10:48.100,19443
111,00:10:48.100,19443,00:10:49.633,19489
112,00:10:49.633,19489,00:10:50.700,19521
113,00:10:50.700,19521,00:10:51.800,19554
114,00:10:51.800,19554,00:10:52.533,19576
115,00:10:52.533,19576,00:10:53.700,19611
116,00:10:53.700,19611,00:10:54.767,19643
117,00:10:54.767,19643,00:10:58.533,19756
118,00:10:58.533,19756,00:11:02.800,19884
119,00:11:02.800,19884,00:11:04.867,19946
120,00:11:04.867,19946,00:11:06.333,19990
121,00:11:06.333,19990,00:11:09.800,20094
122,00:11:09.800,20094,00:11:14.333,20230
123,00:11:14.333,20230,00:11:16.533,20296
124,00:11:16.533,20296,00:11:17.833,20335
125,00:11:17.833,20335,00:11:20.867,20426
126,00:11:20.867,20426,00:11:23.967,20519
127,00:11:23.967,20519,00:11:33.500,20805
128,00:11:33.500,20805,00:11:36.933,20908
129,00:11:36.933,20908,00:11:45.333,21160
130,00:11:45.333,21160,00:11:47.367,21221
131,00:11:47.367,21221,00:11:49.267,21278
132,00:11:49.267,21278,00:11:51.500,21345
133,00:11:51.500,21345,00:11:56.833,21505
134,00:11:56.833,21505,00:12:03.700,21711
135,00:12:03.700,21711,00:12:06.467,21794
136,00:12:06.467,21794,00:12:08.300,21849
137,00:12:08.300,21849,00:12:09.367,21881
138,00:12:09.367,21881,00:12:13.967,22019
139,00:12:13.967,22019,00:12:17.967,22139
140,00:12:17.967,22139,00:12:22.467,22274
141,00:12:22.467,22274,00:12:23.333,22300
142,00:12:23.333,22300,00:12:27.133,22414
143,00:12:27.133,22414,00:12:28.033,22441
144,00:12:28.033,22441,00:12:30.267,22508
145,00:12:30.267,22508,00:12:32.033,22561
146,00:12:32.033,22561,00:12:32.933,22588
147,00:12:32.933,22588,00:12:44.967,22949
148,00:12:44.967,22949,00:12:45.867,22976
149,00:12:45.867,22976,00:12:48.200,23046
150,00:12:48.200,23046,00:12:48.933,23068
151,00:12:48.933,23068,00:12:54.533,23236
152,00:12:54.533,23236,00:12:56.000,23280
153,00:12:56.000,23280,00:12:58.033,23341
154,00:12:58.033,23341,00:13:09.500,23685
155,00:13:09.500,23685,00:13:17.600,23928
