Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:01.467,44
2,00:00:01.467,44,00:00:02.467,74
3,00:00:02.467,74,00:00:03.767,113
4,00:00:03.767,113,00:00:04.667,140
5,00:00:04.667,140,00:00:07.700,231
6,00:00:07.700,231,00:00:09.400,282
7,00:00:09.400,282,00:00:12.167,365
8,00:00:12.167,365,00:00:14.000,420
9,00:00:14.000,420,00:00:16.767,503
10,00:00:16.767,503,00:00:19.000,570
11,00:00:19.000,570,00:00:21.700,651
12,00:00:21.700,651,00:00:23.500,705
13,00:00:23.500,705,00:00:25.767,773
14,00:00:25.767,773,00:00:28.000,840
15,00:00:28.000,840,00:00:30.300,909
16,00:00:30.300,909,00:00:33.800,1014
17,00:00:33.800,1014,00:00:34.300,1029
18,00:00:34.300,1029,00:00:34.800,1044
19,00:00:34.800,1044,00:00:35.300,1059
20,00:00:35.300,1059,00:00:36.500,1095
21,00:00:36.500,1095,00:00:40.900,1227
22,00:00:40.900,1227,00:00:43.067,1292
23,00:00:43.067,1292,00:00:44.500,1335
24,00:00:44.500,1335,00:00:47.767,1433
25,00:00:47.767,1433,00:01:01.567,1847
26,00:01:01.567,1847,00:01:03.967,1919
27,00:01:03.967,1919,00:01:06.567,1997
28,00:01:06.567,1997,00:01:19.533,2386
29,00:01:19.533,2386,00:01:22.267,2468
30,00:01:22.267,2468,00:01:23.867,2516
31,00:01:23.867,2516,00:01:29.067,2672
32,00:01:29.067,2672,00:01:33.667,2810
33,00:01:33.667,2810,00:01:42.100,3063
34,00:01:42.100,3063,00:01:45.033,3151
35,00:01:45.033,3151,00:01:47.633,3229
36,00:01:47.633,3229,00:01:51.500,3345
37,00:01:51.500,3345,00:01:54.800,3444
38,00:01:54.800,3444,00:02:02.767,3683
39,00:02:02.767,3683,00:02:05.633,3769
40,00:02:05.633,3769,00:02:09.933,3898
41,00:02:09.933,3898,00:02:11.800,3954
42,00:02:11.800,3954,00:02:17.367,4121
43,00:02:17.367,4121,00:02:19.967,4199
44,00:02:19.967,4199,00:02:23.000,4290
45,00:02:23.000,4290,00:02:28.933,4468
46,00:02:28.933,4468,00:02:33.033,4591
47,00:02:33.033,4591,00:02:33.700,4611
48,00:02:33.700,4611,00:02:35.033,4651
49,00:02:35.033,4651,00:02:38.900,4767
50,00:02:38.900,4767,00:02:44.467,4934
51,00:02:44.467,4934,00:02:50.833,5125
52,00:02:50.833,5125,00:02:55.700,5271
53,00:02:55.700,5271,00:02:59.233,5377
54,00:02:59.233,5377,00:03:01.200,5436
55,00:03:01.200,5436,00:03:06.500,5595
56,00:03:06.500,5595,00:03:11.833,5755
57,00:03:11.833,5755,00:03:23.233,6097
58,00:03:23.233,6097,00:03:27.433,6223
59,00:03:27.433,6223,00:03:29.133,6274
60,00:03:29.133,6274,00:03:30.867,6326
61,00:03:30.867,6326,00:03:35.500,6465
62,00:03:35.500,6465,00:03:39.067,6572
63,00:03:39.067,6572,00:03:41.067,6632
64,00:03:41.067,6632,00:03:43.833,6715
65,00:03:43.833,6715,00:03:46.000,6780
66,00:03:46.000,6780,00:03:47.733,6832
67,00:03:47.733,6832,00:03:55.500,7065
68,00:03:55.500,7065,00:03:59.500,7185
69,00:03:59.500,7185,00:04:09.767,7493
70,00:04:09.767,7493,00:04:14.133,7624
71,00:04:14.133,7624,00:04:23.733,7912
72,00:04:23.733,7912,00:04:37.500,8325
73,00:04:37.500,8325,00:04:43.433,8503
74,00:04:43.433,8503,00:04:47.133,8614
75,00:04:47.133,8614,00:04:55.233,8857
76,00:04:55.233,8857,00:05:01.733,9052
77,00:05:01.733,9052,00:05:04.433,9133
78,00:05:04.433,9133,00:05:06.633,9199
79,00:05:06.633,9199,00:05:18.600,9558
80,00:05:18.600,9558,00:05:21.667,9650
81,00:05:21.667,9650,00:05:27.367,9821
82,00:05:27.367,9821,00:05:31.133,9934
83,00:05:31.133,9934,00:05:37.733,10132
84,00:05:37.733,10132,00:05:40.533,10216
85,00:05:40.533,10216,00:05:41.933,10258
86,00:05:41.933,10258,00:05:47.233,10417
87,00:05:47.233,10417,00:05:52.733,10582
88,00:05:52.733,10582,00:05:56.367,10691
89,00:05:56.367,10691,00:06:00.300,10809
90,00:06:00.300,10809,00:06:04.967,10949
91,00:06:04.967,10949,00:06:11.633,11149
92,00:06:11.633,11149,00:06:13.600,11208
93,00:06:13.600,11208,00:06:24.600,11538
94,00:06:24.600,11538,00:06:30.167,11705
95,00:06:30.167,11705,00:06:34.967,11849
96,00:06:34.967,11849,00:06:40.567,12017
97,00:06:40.567,12017,00:06:42.833,12085
98,00:06:42.833,12085,00:06:43.500,12105
99,00:06:43.500,12105,00:06:44.167,12125
100,00:06:44.167,12125,00:06:44.833,12145
101,00:06:44.833,12145,00:06:45.367,12161
102,00:06:45.367,12161,00:06:46.800,12204
103,00:06:46.800,12204,00:06:49.400,12282
104,00:06:49.400,12282,00:06:50.833,12325
105,00:06:50.833,12325,00:06:52.367,12371
106,00:06:52.367,12371,00:06:55.733,12472
107,00:06:55.733,12472,00:06:59.600,12588
108,00:06:59.600,12588,00:07:05.433,12763
109,00:07:05.433,12763,00:07:07.833,12835
110,00:07:07.833,12835,00:07:13.167,12995
111,00:07:13.167,12995,00:07:20.467,13214
112,00:07:20.467,13214,00:07:23.700,13311
113,00:07:23.700,13311,00:07:26.933,13408
114,00:07:26.933,13408,00:07:28.300,13449
115,00:07:28.300,13449,00:07:29.733,13492
116,00:07:29.733,13492,00:07:34.000,13620
117,00:07:34.000,13620,00:07:36.633,13699
118,00:07:36.633,13699,00:07:40.667,13820
119,00:07:40.667,13820,00:07:43.933,13918
120,00:07:43.933,13918,00:07:47.967,14039
121,00:07:47.967,14039,00:07:52.800,14184
122,00:07:52.800,14184,00:07:54.933,14248
123,00:07:54.933,14248,00:07:58.167,14345
124,00:07:58.167,14345,00:08:00.400,14412
125,00:08:00.400,14412,00:08:04.967,14549
126,00:08:04.967,14549,00:08:08.067,14642
127,00:08:08.067,14642,00:08:09.600,14688
128,00:08:09.600,14688,00:08:12.600,14778
129,00:08:12.600,14778,00:08:16.167,14885
130,00:08:16.167,14885,00:08:18.167,14945
131,00:08:18.167,14945,00:08:23.367,15101
132,00:08:23.367,15101,00:08:26.033,15181
133,00:08:26.033,15181,00:08:30.100,15303
134,00:08:30.100,15303,00:08:32.767,15383
135,00:08:32.767,15383,00:08:35.633,15469
136,00:08:35.633,15469,00:08:38.900,15567
137,00:08:38.900,15567,00:08:42.200,15666
138,00:08:42.200,15666,00:08:45.267,15758
139,00:08:45.267,15758,00:08:59.900,16197
140,00:08:59.900,16197,00:09:07.100,16413
141,00:09:07.100,16413,00:09:08.967,16469
142,00:09:08.967,16469,00:09:13.133,16594
143,00:09:13.133,16594,00:09:21.967,16859
144,00:09:21.967,16859,00:09:24.033,16921
145,00:09:24.033,16921,00:09:26.000,16980
146,00:09:26.000,16980,00:09:27.533,17026
147,00:09:27.533,17026,00:09:30.633,17119
148,00:09:30.633,17119,00:09:32.300,17169
149,00:09:32.300,17169,00:09:35.367,17261
150,00:09:35.367,17261,00:09:36.133,17284
151,00:09:36.133,17284,00:09:38.300,17349
152,00:09:38.300,17349,00:09:42.800,17484
153,00:09:42.800,17484,00:09:45.633,17569
154,00:09:45.633,17569,00:09:50.600,17718
155,00:09:50.600,17718,00:09:52.300,17769
156,00:09:52.300,17769,00:09:59.500,17985
157,00:09:59.500,17985,00:10:01.300,18039
158,00:10:01.300,18039,00:10:09.000,18270
159,00:10:09.000,18270,00:10:15.000,18450
160,00:10:15.000,18450,00:10:19.567,18587
161,00:10:19.567,18587,00:10:24.467,18734
162,00:10:24.467,18734,00:10:28.000,18840
163,00:10:28.000,18840,00:10:30.067,18902
164,00:10:30.067,18902,00:10:35.900,19077
165,00:10:35.900,19077,00:10:49.767,19493
166,00:10:49.767,19493,00:10:52.100,19563
167,00:10:52.100,19563,00:10:56.100,19683
168,00:10:56.100,19683,00:10:57.900,19737
169,00:10:57.900,19737,00:11:00.200,19806
170,00:11:00.200,19806,00:11:03.833,19915
171,00:11:03.833,19915,00:11:07.767,20033
172,00:11:07.767,20033,00:11:15.900,20277
173,00:11:15.900,20277,00:11:20.900,20427
174,00:11:20.900,20427,00:11:23.333,20500
175,00:11:23.333,20500,00:11:25.567,20567
176,00:11:25.567,20567,00:11:29.967,20699
177,00:11:29.967,20699,00:11:31.300,20739
178,00:11:31.300,20739,00:11:33.333,20800
179,00:11:33.333,20800,00:11:39.400,20982
180,00:11:39.400,20982,00:11:43.933,21118
181,00:11:43.933,21118,00:11:45.267,21158
182,00:11:45.267,21158,00:11:47.067,21212
183,00:11:47.067,21212,00:11:50.633,21319
184,00:11:50.633,21319,00:11:53.567,21407
185,00:11:53.567,21407,00:11:57.533,21526
186,00:11:57.533,21526,00:12:00.567,21617
187,00:12:00.567,21617,00:12:02.600,21678
188,00:12:02.600,21678,00:12:06.567,21797
189,00:12:06.567,21797,00:12:12.400,21972
190,00:12:12.400,21972,00:12:17.700,22131
191,00:12:17.700,22131,00:12:25.300,22359
192,00:12:25.300,22359,00:12:32.433,22573
193,00:12:32.433,22573,00:12:33.800,22614
194,00:12:33.800,22614,00:12:36.533,22696
195,00:12:36.533,22696,00:12:38.267,22748
196,00:12:38.267,22748,00:12:41.500,22845
197,00:12:41.500,22845,00:12:43.167,22895
198,00:12:43.167,22895,00:12:47.000,23010
199,00:12:47.000,23010,00:12:51.667,23150
200,00:12:51.667,23150,00:12:56.200,23286
201,00:12:56.200,23286,00:13:09.667,23690
