Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:00.500,15
2,00:00:00.500,15,00:00:01.933,58
3,00:00:01.933,58,00:00:03.100,93
4,00:00:03.100,93,00:00:04.033,121
5,00:00:04.033,121,00:00:04.567,137
6,00:00:04.567,137,00:00:05.133,154
7,00:00:05.133,154,00:00:06.167,185
8,00:00:06.167,185,00:00:06.700,201
9,00:00:06.700,201,00:00:07.533,226
10,00:00:07.533,226,00:00:08.033,241
11,00:00:08.033,241,00:00:09.167,275
12,00:00:09.167,275,00:00:10.533,316
13,00:00:10.533,316,00:00:12.567,377
14,00:00:12.567,377,00:00:13.133,394
15,00:00:13.133,394,00:00:13.633,409
16,00:00:13.633,409,00:00:14.633,439
17,00:00:14.633,439,00:00:15.600,468
18,00:00:15.600,468,00:00:16.333,490
19,00:00:16.333,490,00:00:16.833,505
20,00:00:16.833,505,00:00:17.567,527
21,00:00:17.567,527,00:00:18.067,542
22,00:00:18.067,542,00:00:18.800,564
23,00:00:18.800,564,00:00:19.300,579
24,00:00:19.300,579,00:00:21.367,641
25,00:00:21.367,641,00:00:23.833,715
26,00:00:23.833,715,00:00:24.800,744
27,00:00:24.800,744,00:00:25.333,760
28,00:00:25.333,760,00:00:26.033,781
29,00:00:26.033,781,00:00:26.767,803
30,00:00:26.767,803,00:00:27.633,829
31,00:00:27.633,829,00:00:28.300,849
32,00:00:28.300,849,00:00:28.967,869
33,00:00:28.967,869,00:00:29.733,892
34,00:00:29.733,892,00:00:30.367,911
35,00:00:30.367,911,00:00:31.167,935
36,00:00:31.167,935,00:00:31.800,954
37,00:00:31.800,954,00:00:33.000,990
38,00:00:33.000,990,00:00:33.667,1010
39,00:00:33.667,1010,00:00:35.067,1052
40,00:00:35.067,1052,00:00:35.633,1069
41,00:00:35.633,1069,00:00:36.233,1087
42,00:00:36.233,1087,00:00:36.900,1107
43,00:00:36.900,1107,00:00:38.133,1144
44,00:00:38.133,1144,00:00:39.033,1171
45,00:00:39.033,1171,00:00:39.700,1191
46,00:00:39.700,1191,00:00:40.267,1208
47,00:00:40.267,1208,00:00:41.100,1233
48,00:00:41.100,1233,00:00:41.833,1255
49,00:00:41.833,1255,00:00:42.700,1281
50,00:00:42.700,1281,00:00:43.567,1307
51,00:00:43.567,1307,00:00:44.500,1335
52,00:00:44.500,1335,00:00:46.067,1382
53,00:00:46.067,1382,00:00:47.133,1414
54,00:00:47.133,1414,00:00:47.667,1430
55,00:00:47.667,1430,00:00:48.500,1455
56,00:00:48.500,1455,00:00:49.267,1478
57,00:00:49.267,1478,00:00:50.167,1505
58,00:00:50.167,1505,00:00:50.967,1529
59,00:00:50.967,1529,00:00:51.767,1553
60,00:00:51.767,1553,00:00:52.600,1578
61,00:00:52.600,1578,00:00:53.200,1596
62,00:00:53.200,1596,00:00:53.733,1612
63,00:00:53.733,1612,00:00:54.233,1627
64,00:00:54.233,1627,00:00:54.733,1642
65,00:00:54.733,1642,00:00:55.267,1658
66,00:00:55.267,1658,00:00:55.800,1674
67,00:00:55.800,1674,00:00:56.700,1701
68,00:00:56.700,1701,00:00:58.100,1743
69,00:00:58.100,1743,00:00:58.800,1764
70,00:00:58.800,1764,00:01:00.133,1804
71,00:01:00.133,1804,00:01:00.867,1826
72,00:01:00.867,1826,00:01:02.967,1889
73,00:01:02.967,1889,00:01:04.000,1920
74,00:01:04.000,1920,00:01:04.733,1942
75,00:01:04.733,1942,00:01:05.667,1970
76,00:01:05.667,1970,00:01:06.533,1996
77,00:01:06.533,1996,00:01:07.467,2024
78,00:01:07.467,2024,00:01:08.300,2049
79,00:01:08.300,2049,00:01:08.800,2064
80,00:01:08.800,2064,00:01:09.367,2081
81,00:01:09.367,2081,00:01:10.100,2103
82,00:01:10.100,2103,00:01:12.900,2187
83,00:01:12.900,2187,00:01:14.400,2232
84,00:01:14.400,2232,00:01:16.033,2281
85,00:01:16.033,2281,00:01:18.000,2340
86,00:01:18.000,2340,00:01:18.867,2366
87,00:01:18.867,2366,00:01:20.067,2402
88,00:01:20.067,2402,00:01:20.700,2421
89,00:01:20.700,2421,00:01:22.333,2470
90,00:01:22.333,2470,00:01:23.167,2495
91,00:01:23.167,2495,00:01:24.133,2524
92,00:01:24.133,2524,00:01:24.733,2542
93,00:01:24.733,2542,00:01:25.467,2564
94,00:01:25.467,2564,00:01:26.067,2582
95,00:01:26.067,2582,00:01:27.233,2617
96,00:01:27.233,2617,00:01:28.033,2641
97,00:01:28.033,2641,00:01:28.867,2666
98,00:01:28.867,2666,00:01:30.500,2715
99,00:01:30.500,2715,00:01:31.633,2749
100,00:01:31.633,2749,00:01:32.433,2773
101,00:01:32.433,2773,00:01:33.500,2805
102,00:01:33.500,2805,00:01:34.767,2843
103,00:01:34.767,2843,00:01:36.533,2896
104,00:01:36.533,2896,00:01:37.433,2923
105,00:01:37.433,2923,00:01:38.667,2960
106,00:01:38.667,2960,00:01:39.800,2994
107,00:01:39.800,2994,00:01:40.767,3023
108,00:01:40.767,3023,00:01:41.300,3039
109,00:01:41.300,3039,00:01:41.933,3058
110,00:01:41.933,3058,00:01:42.667,3080
111,00:01:42.667,3080,00:01:43.333,3100
112,00:01:43.333,3100,00:01:44.467,3134
113,00:01:44.467,3134,00:01:46.900,3207
114,00:01:46.900,3207,00:01:47.967,3239
115,00:01:47.967,3239,00:01:48.733,3262
116,00:01:48.733,3262,00:01:49.367,3281
117,00:01:49.367,3281,00:01:50.067,3302
118,00:01:50.067,3302,00:01:50.967,3329
119,00:01:50.967,3329,00:01:51.467,3344
120,00:01:51.467,3344,00:01:52.867,3386
121,00:01:52.867,3386,00:01:53.433,3403
122,00:01:53.433,3403,00:01:55.033,3451
123,00:01:55.033,3451,00:01:57.000,3510
124,00:01:57.000,3510,00:01:57.567,3527
125,00:01:57.567,3527,00:01:58.267,3548
126,00:01:58.267,3548,00:01:58.767,3563
127,00:01:58.767,3563,00:01:59.700,3591
128,00:01:59.700,3591,00:02:00.367,3611
129,00:02:00.367,3611,00:02:00.933,3628
130,00:02:00.933,3628,00:02:01.667,3650
131,00:02:01.667,3650,00:02:02.333,3670
132,00:02:02.333,3670,00:02:02.833,3685
133,00:02:02.833,3685,00:02:03.467,3704
134,00:02:03.467,3704,00:02:04.300,3729
135,00:02:04.300,3729,00:02:04.800,3744
136,00:02:04.800,3744,00:02:05.500,3765
137,00:02:05.500,3765,00:02:06.633,3799
138,00:02:06.633,3799,00:02:07.200,3816
139,00:02:07.200,3816,00:02:07.900,3837
140,00:02:07.900,3837,00:02:08.633,3859
141,00:02:08.633,3859,00:02:09.300,3879
142,00:02:09.300,3879,00:02:10.233,3907
143,00:02:10.233,3907,00:02:12.133,3964
144,00:02:12.133,3964,00:02:14.067,4022
145,00:02:14.067,4022,00:02:14.667,4040
146,00:02:14.667,4040,00:02:15.767,4073
147,00:02:15.767,4073,00:02:16.867,4106
148,00:02:16.867,4106,00:02:18.567,4157
149,00:02:18.567,4157,00:02:19.633,4189
150,00:02:19.633,4189,00:02:20.133,4204
151,00:02:20.133,4204,00:02:20.833,4225
152,00:02:20.833,4225,00:02:21.333,4240
153,00:02:21.333,4240,00:02:21.833,4255
154,00:02:21.833,4255,00:02:22.633,4279
155,00:02:22.633,4279,00:02:23.167,4295
156,00:02:23.167,4295,00:02:23.933,4318
157,00:02:23.933,4318,00:02:26.133,4384
158,00:02:26.133,4384,00:02:27.367,4421
159,00:02:27.367,4421,00:02:28.167,4445
160,00:02:28.167,4445,00:02:29.567,4487
161,00:02:29.567,4487,00:02:31.000,4530
162,00:02:31.000,4530,00:02:31.867,4556
163,00:02:31.867,4556,00:02:32.533,4576
164,00:02:32.533,4576,00:02:33.167,4595
165,00:02:33.167,4595,00:02:33.967,4619
166,00:02:33.967,4619,00:02:35.667,4670
167,00:02:35.667,4670,00:02:38.000,4740
168,00:02:38.000,4740,00:02:39.267,4778
169,00:02:39.267,4778,00:02:40.100,4803
170,00:02:40.100,4803,00:02:40.800,4824
171,00:02:40.800,4824,00:02:41.567,4847
172,00:02:41.567,4847,00:02:42.600,4878
173,00:02:42.600,4878,00:02:43.400,4902
174,00:02:43.400,4902,00:02:44.567,4937
175,00:02:44.567,4937,00:02:45.533,4966
176,00:02:45.533,4966,00:02:46.333,4990
177,00:02:46.333,4990,00:02:47.033,5011
178,00:02:47.033,5011,00:02:47.867,5036
179,00:02:47.867,5036,00:02:48.767,5063
180,00:02:48.767,5063,00:02:50.300,5109
181,00:02:50.300,5109,00:02:50.867,5126
182,00:02:50.867,5126,00:02:51.433,5143
183,00:02:51.433,5143,00:02:51.967,5159
184,00:02:51.967,5159,00:02:52.667,5180
185,00:02:52.667,5180,00:02:53.333,5200
186,00:02:53.333,5200,00:02:54.533,5236
187,00:02:54.533,5236,00:02:57.667,5330
188,00:02:57.667,5330,00:02:59.900,5397
189,00:02:59.900,5397,00:03:00.900,5427
190,00:03:00.900,5427,00:03:01.800,5454
191,00:03:01.800,5454,00:03:03.267,5498
192,00:03:03.267,5498,00:03:05.033,5551
193,00:03:05.033,5551,00:03:06.733,5602
194,00:03:06.733,5602,00:03:07.800,5634
195,00:03:07.800,5634,00:03:09.533,5686
196,00:03:09.533,5686,00:03:10.700,5721
197,00:03:10.700,5721,00:03:12.067,5762
198,00:03:12.067,5762,00:03:13.567,5807
199,00:03:13.567,5807,00:03:15.500,5865
200,00:03:15.500,5865,00:03:16.067,5882
201,00:03:16.067,5882,00:03:17.233,5917
202,00:03:17.233,5917,00:03:18.067,5942
203,00:03:18.067,5942,00:03:18.833,5965
204,00:03:18.833,5965,00:03:19.400,5982
205,00:03:19.400,5982,00:03:19.900,5997
206,00:03:19.900,5997,00:03:21.000,6030
207,00:03:21.000,6030,00:03:21.933,6058
208,00:03:21.933,6058,00:03:23.500,6105
209,00:03:23.500,6105,00:03:25.067,6152
210,00:03:25.067,6152,00:03:25.600,6168
211,00:03:25.600,6168,00:03:26.200,6186
212,00:03:26.200,6186,00:03:26.800,6204
213,00:03:26.800,6204,00:03:27.300,6219
214,00:03:27.300,6219,00:03:28.167,6245
215,00:03:28.167,6245,00:03:29.000,6270
216,00:03:29.000,6270,00:03:30.100,6303
217,00:03:30.100,6303,00:03:31.000,6330
218,00:03:31.000,6330,00:03:34.300,6429
219,00:03:34.300,6429,00:03:35.800,6474
220,00:03:35.800,6474,00:03:36.700,6501
221,00:03:36.700,6501,00:03:38.633,6559
222,00:03:38.633,6559,00:03:39.800,6594
223,00:03:39.800,6594,00:03:40.700,6621
224,00:03:40.700,6621,00:03:41.800,6654
225,00:03:41.800,6654,00:03:43.000,6690
226,00:03:43.000,6690,00:03:43.667,6710
227,00:03:43.667,6710,00:03:44.367,6731
228,00:03:44.367,6731,00:03:45.767,6773
229,00:03:45.767,6773,00:03:46.367,6791
230,00:03:46.367,6791,00:03:47.667,6830
231,00:03:47.667,6830,00:03:48.233,6847
232,00:03:48.233,6847,00:03:48.767,6863
233,00:03:48.767,6863,00:03:49.267,6878
234,00:03:49.267,6878,00:03:49.800,6894
235,00:03:49.800,6894,00:03:50.400,6912
236,00:03:50.400,6912,00:03:52.267,6968
237,00:03:52.267,6968,00:03:53.300,6999
238,00:03:53.300,6999,00:03:55.033,7051
239,00:03:55.033,7051,00:03:56.367,7091
240,00:03:56.367,7091,00:03:57.367,7121
241,00:03:57.367,7121,00:03:58.133,7144
242,00:03:58.133,7144,00:03:59.433,7183
243,00:03:59.433,7183,00:04:00.400,7212
244,00:04:00.400,7212,00:04:02.000,7260
245,00:04:02.000,7260,00:04:03.367,7301
246,00:04:03.367,7301,00:04:03.867,7316
247,00:04:03.867,7316,00:04:04.467,7334
248,00:04:04.467,7334,00:04:05.600,7368
249,00:04:05.600,7368,00:04:06.267,7388
250,00:04:06.267,7388,00:04:06.767,7403
251,00:04:06.767,7403,00:04:08.133,7444
252,00:04:08.133,7444,00:04:09.367,7481
253,00:04:09.367,7481,00:04:11.367,7541
254,00:04:11.367,7541,00:04:13.667,7610
255,00:04:13.667,7610,00:04:15.067,7652
256,00:04:15.067,7652,00:04:16.367,7691
257,00:04:16.367,7691,00:04:18.167,7745
258,00:04:18.167,7745,00:04:19.467,7784
259,00:04:19.467,7784,00:04:21.567,7847
260,00:04:21.567,7847,00:04:22.367,7871
261,00:04:22.367,7871,00:04:22.867,7886
262,00:04:22.867,7886,00:04:23.867,7916
263,00:04:23.867,7916,00:04:24.833,7945
264,00:04:24.833,7945,00:04:25.633,7969
265,00:04:25.633,7969,00:04:27.300,8019
266,00:04:27.300,8019,00:04:28.967,8069
267,00:04:28.967,8069,00:04:31.633,8149
268,00:04:31.633,8149,00:04:32.833,8185
