Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:06.333,190
2,00:00:06.333,190,00:00:10.067,302
3,00:00:10.067,302,00:00:14.333,430
4,00:00:14.333,430,00:00:16.900,507
5,00:00:16.900,507,00:00:26.267,788
6,00:00:26.267,788,00:00:28.800,864
7,00:00:28.800,864,00:00:45.000,1350
8,00:00:45.000,1350,00:00:46.033,1381
9,00:00:46.033,1381,00:00:47.367,1421
10,00:00:47.367,1421,00:00:49.767,1493
11,00:00:49.767,1493,00:00:50.967,1529
12,00:00:50.967,1529,00:00:51.633,1549
13,00:00:51.633,1549,00:00:58.767,1763
14,00:00:58.767,1763,00:01:00.733,1822
15,00:01:00.733,1822,00:01:02.267,1868
16,00:01:02.267,1868,00:01:14.333,2230
17,00:01:14.333,2230,00:01:15.700,2271
18,00:01:15.700,2271,00:01:16.200,2286
19,00:01:16.200,2286,00:01:18.667,2360
20,00:01:18.667,2360,00:01:19.867,2396
21,00:01:19.867,2396,00:01:25.067,2552
22,00:01:25.067,2552,00:01:33.300,2799
23,00:01:33.300,2799,00:01:36.900,2907
24,00:01:36.900,2907,00:01:47.833,3235
25,00:01:47.833,3235,00:01:56.200,3486
26,00:01:56.200,3486,00:02:01.333,3640
27,00:02:01.333,3640,00:02:05.533,3766
28,00:02:05.533,3766,00:02:12.400,3972
29,00:02:12.400,3972,00:02:15.033,4051
30,00:02:15.033,4051,00:02:32.567,4577
31,00:02:32.567,4577,00:02:38.967,4769
32,00:02:38.967,4769,00:02:39.633,4789
33,00:02:39.633,4789,00:02:45.067,4952
34,00:02:45.067,4952,00:02:50.233,5107
35,00:02:50.233,5107,00:03:01.533,5446
36,00:03:01.533,5446,00:03:04.100,5523
37,00:03:04.100,5523,00:03:09.767,5693
38,00:03:09.767,5693,00:03:10.467,5714
39,00:03:10.467,5714,00:03:18.800,5964
40,00:03:18.800,5964,00:03:36.867,6506
41,00:03:36.867,6506,00:03:40.300,6609
42,00:03:40.300,6609,00:03:42.433,6673
43,00:03:42.433,6673,00:03:43.467,6704
44,00:03:43.467,6704,00:03:55.333,7060
45,00:03:55.333,7060,00:04:01.567,7247
46,00:04:01.567,7247,00:04:06.133,7384
47,00:04:06.133,7384,00:04:08.800,7464
48,00:04:08.800,7464,00:04:10.367,7511
49,00:04:10.367,7511,00:04:13.133,7594
50,00:04:13.133,7594,00:04:15.733,7672
51,00:04:15.733,7672,00:04:20.000,7800
52,00:04:20.000,7800,00:04:22.533,7876
53,00:04:22.533,7876,00:04:24.833,7945
54,00:04:24.833,7945,00:04:31.233,8137
55,00:04:31.233,8137,00:04:43.500,8505
56,00:04:43.500,8505,00:04:45.867,8576
57,00:04:45.867,8576,00:04:46.767,8603
58,00:04:46.767,8603,00:04:48.533,8656
59,00:04:48.533,8656,00:04:49.033,8671
60,00:04:49.033,8671,00:04:50.733,8722
61,00:04:50.733,8722,00:05:04.667,9140
62,00:05:04.667,9140,00:05:13.000,9390
63,00:05:13.000,9390,00:05:19.467,9584
