Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:01.800,54
2,00:00:01.800,54,00:00:03.800,114
3,00:00:03.800,114,00:00:06.600,198
4,00:00:06.600,198,00:00:09.900,297
5,00:00:09.900,297,00:00:12.900,387
6,00:00:12.900,387,00:00:18.300,549
7,00:00:18.300,549,00:00:20.800,624
8,00:00:20.800,624,00:00:23.300,699
9,00:00:23.300,699,00:00:25.833,775
10,00:00:25.833,775,00:00:28.833,865
11,00:00:28.833,865,00:00:41.833,1255
12,00:00:41.833,1255,00:00:52.233,1567
13,00:00:52.233,1567,00:00:52.967,1589
14,00:00:52.967,1589,00:00:54.600,1638
15,00:00:54.600,1638,00:00:55.233,1657
16,00:00:55.233,1657,00:01:01.233,1837
17,00:01:01.233,1837,00:01:10.500,2115
18,00:01:10.500,2115,00:01:16.500,2295
19,00:01:16.500,2295,00:01:23.000,2490
20,00:01:23.000,2490,00:01:29.000,2670
21,00:01:29.000,2670,00:01:31.033,2731
22,00:01:31.033,2731,00:01:35.167,2855
23,00:01:35.167,2855,00:01:40.200,3006
24,00:01:40.200,3006,00:01:44.700,3141
25,00:01:44.700,3141,00:01:47.700,3231
26,00:01:47.700,3231,00:01:50.700,3321
27,00:01:50.700,3321,00:01:56.033,3481
28,00:01:56.033,3481,00:01:58.500,3555
29,00:01:58.500,3555,00:01:59.133,3574
30,00:01:59.133,3574,00:01:59.867,3596
31,00:01:59.867,3596,00:02:02.733,3682
32,00:02:02.733,3682,00:02:06.800,3804
33,00:02:06.800,3804,00:02:09.300,3879
34,00:02:09.300,3879,00:02:11.667,3950
35,00:02:11.667,3950,00:02:12.933,3988
36,00:02:12.933,3988,00:02:15.767,4073
37,00:02:15.767,4073,00:02:18.733,4162
38,00:02:18.733,4162,00:02:20.133,4204
39,00:02:20.133,4204,00:02:21.433,4243
40,00:02:21.433,4243,00:02:25.400,4362
41,00:02:25.400,4362,00:02:27.933,4438
42,00:02:27.933,4438,00:02:28.900,4467
43,00:02:28.900,4467,00:02:30.333,4510
44,00:02:30.333,4510,00:02:31.367,4541
45,00:02:31.367,4541,00:02:32.233,4567
46,00:02:32.233,4567,00:02:33.767,4613
47,00:02:33.767,4613,00:02:34.867,4646
48,00:02:34.867,4646,00:02:35.733,4672
49,00:02:35.733,4672,00:02:37.333,4720
50,00:02:37.333,4720,00:02:38.333,4750
51,00:02:38.333,4750,00:02:40.333,4810
52,00:02:40.333,4810,00:02:44.833,4945
53,00:02:44.833,4945,00:02:46.533,4996
54,00:02:46.533,4996,00:02:49.033,5071
55,00:02:49.033,5071,00:02:52.000,5160
56,00:02:52.000,5160,00:02:53.767,5213
57,00:02:53.767,5213,00:02:54.800,5244
58,00:02:54.800,5244,00:02:55.567,5267
59,00:02:55.567,5267,00:02:56.067,5282
60,00:02:56.067,5282,00:02:58.133,5344
61,00:02:58.133,5344,00:02:58.733,5362
62,00:02:58.733,5362,00:02:59.233,5377
63,00:02:59.233,5377,00:02:59.800,5394
64,00:02:59.800,5394,00:03:02.300,5469
65,00:03:02.300,5469,00:03:03.733,5512
66,00:03:03.733,5512,00:03:04.267,5528
67,00:03:04.267,5528,00:03:04.867,5546
68,00:03:04.867,5546,00:03:05.367,5561
69,00:03:05.367,5561,00:03:10.133,5704
70,00:03:10.133,5704,00:03:11.300,5739
71,00:03:11.300,5739,00:03:11.900,5757
72,00:03:11.900,5757,00:03:14.433,5833
73,00:03:14.433,5833,00:03:16.167,5885
74,00:03:16.167,5885,00:03:16.700,5901
75,00:03:16.700,5901,00:03:17.200,5916
76,00:03:17.200,5916,00:03:17.733,5932
77,00:03:17.733,5932,00:03:18.267,5948
78,00:03:18.267,5948,00:03:18.833,5965
79,00:03:18.833,5965,00:03:19.367,5981
80,00:03:19.367,5981,00:03:20.033,6001
81,00:03:20.033,6001,00:03:21.033,6031
82,00:03:21.033,6031,00:03:24.233,6127
83,00:03:24.233,6127,00:03:27.067,6212
84,00:03:27.067,6212,00:03:28.600,6258
85,00:03:28.600,6258,00:03:29.800,6294
86,00:03:29.800,6294,00:03:31.367,6341
87,00:03:31.367,6341,00:03:32.600,6378
88,00:03:32.600,6378,00:03:33.500,6405
89,00:03:33.500,6405,00:03:34.000,6420
90,00:03:34.000,6420,00:03:34.500,6435
91,00:03:34.500,6435,00:03:37.233,6517
92,00:03:37.233,6517,00:03:39.133,6574
93,00:03:39.133,6574,00:03:40.733,6622
94,00:03:40.733,6622,00:03:41.467,6644
95,00:03:41.467,6644,00:03:42.400,6672
96,00:03:42.400,6672,00:03:43.133,6694
97,00:03:43.133,6694,00:03:43.667,6710
98,00:03:43.667,6710,00:03:44.167,6725
99,00:03:44.167,6725,00:03:44.800,6744
100,00:03:44.800,6744,00:03:45.433,6763
101,00:03:45.433,6763,00:03:46.300,6789
102,00:03:46.300,6789,00:03:46.800,6804
103,00:03:46.800,6804,00:03:47.300,6819
104,00:03:47.300,6819,00:03:50.100,6903
105,00:03:50.100,6903,00:03:53.367,7001
106,00:03:53.367,7001,00:03:56.367,7091
107,00:03:56.367,7091,00:03:57.767,7133
108,00:03:57.767,7133,00:03:58.333,7150
109,00:03:58.333,7150,00:04:00.833,7225
110,00:04:00.833,7225,00:04:03.333,7300
111,00:04:03.333,7300,00:04:06.567,7397
112,00:04:06.567,7397,00:04:13.100,7593
113,00:04:13.100,7593,00:04:15.933,7678
114,00:04:15.933,7678,00:04:16.467,7694
115,00:04:16.467,7694,00:04:17.033,7711
116,00:04:17.033,7711,00:04:18.033,7741
117,00:04:18.033,7741,00:04:19.000,7770
118,00:04:19.000,7770,00:04:20.167,7805
119,00:04:20.167,7805,00:04:21.067,7832
120,00:04:21.067,7832,00:04:23.800,7914
121,00:04:23.800,7914,00:04:26.767,8003
122,00:04:26.767,8003,00:04:30.133,8104
123,00:04:30.133,8104,00:04:35.767,8273
124,00:04:35.767,8273,00:04:38.267,8348
125,00:04:38.267,8348,00:04:41.767,8453
126,00:04:41.767,8453,00:04:44.867,8546
127,00:04:44.867,8546,00:04:51.633,8749
128,00:04:51.633,8749,00:05:00.267,9008
129,00:05:00.267,9008,00:05:02.267,9068
130,00:05:02.267,9068,00:05:08.000,9240
131,00:05:08.000,9240,00:05:12.033,9361
132,00:05:12.033,9361,00:05:15.033,9451
133,00:05:15.033,9451,00:05:18.033,9541
134,00:05:18.033,9541,00:05:21.533,9646
135,00:05:21.533,9646,00:05:31.033,9931
136,00:05:31.033,9931,00:05:34.533,10036
137,00:05:34.533,10036,00:05:43.567,10307
138,00:05:43.567,10307,00:05:49.433,10483
139,00:05:49.433,10483,00:05:51.200,10536
140,00:05:51.200,10536,00:05:54.533,10636
141,00:05:54.533,10636,00:06:01.033,10831
142,00:06:01.033,10831,00:06:02.767,10883
143,00:06:02.767,10883,00:06:05.267,10958
144,00:06:05.267,10958,00:06:11.800,11154
145,00:06:11.800,11154,00:06:17.033,11311
146,00:06:17.033,11311,00:06:24.067,11522
147,00:06:24.067,11522,00:06:25.567,11567
148,00:06:25.567,11567,00:06:28.800,11664
149,00:06:28.800,11664,00:06:30.300,11709
150,00:06:30.300,11709,00:06:32.800,11784
151,00:06:32.800,11784,00:06:40.300,12009
152,00:06:40.300,12009,00:06:43.333,12100
153,00:06:43.333,12100,00:06:49.333,12280
154,00:06:49.333,12280,00:06:52.833,12385
155,00:06:52.833,12385,00:06:55.833,12475
156,00:06:55.833,12475,00:07:04.100,12723
157,00:07:04.100,12723,00:07:10.600,12918
158,00:07:10.600,12918,00:07:26.600,13398
159,00:07:26.600,13398,00:07:28.600,13458
160,00:07:28.600,13458,00:07:31.633,13549
161,00:07:31.633,13549,00:07:37.633,13729
162,00:07:37.633,13729,00:07:40.633,13819
163,00:07:40.633,13819,00:07:42.633,13879
164,00:07:42.633,13879,00:07:44.367,13931
165,00:07:44.367,13931,00:07:45.633,13969
166,00:07:45.633,13969,00:07:46.667,14000
167,00:07:46.667,14000,00:07:47.767,14033
168,00:07:47.767,14033,00:07:49.267,14078
169,00:07:49.267,14078,00:07:50.733,14122
170,00:07:50.733,14122,00:07:51.667,14150
171,00:07:51.667,14150,00:07:53.433,14203
172,00:07:53.433,14203,00:07:54.667,14240
173,00:07:54.667,14240,00:07:57.400,14322
174,00:07:57.400,14322,00:08:00.233,14407
175,00:08:00.233,14407,00:08:06.200,14586
176,00:08:06.200,14586,00:08:09.067,14672
177,00:08:09.067,14672,00:08:13.400,14802
178,00:08:13.400,14802,00:08:16.400,14892
179,00:08:16.400,14892,00:08:19.900,14997
180,00:08:19.900,14997,00:08:21.933,15058
181,00:08:21.933,15058,00:08:26.867,15206
182,00:08:26.867,15206,00:08:30.400,15312
183,00:08:30.400,15312,00:08:31.133,15334
184,00:08:31.133,15334,00:08:36.400,15492
185,00:08:36.400,15492,00:08:51.900,15957
186,00:08:51.900,15957,00:08:55.900,16077
187,00:08:55.900,16077,00:09:00.900,16227
188,00:09:00.900,16227,00:09:05.933,16378
189,00:09:05.933,16378,00:09:11.433,16543
190,00:09:11.433,16543,00:09:15.433,16663
191,00:09:15.433,16663,00:09:22.433,16873
192,00:09:22.433,16873,00:09:31.067,17132
193,00:09:31.067,17132,00:09:33.067,17192
194,00:09:33.067,17192,00:09:36.833,17305
195,00:09:36.833,17305,00:09:44.333,17530
196,00:09:44.333,17530,00:09:53.333,17800
197,00:09:53.333,17800,00:09:56.333,17890
198,00:09:56.333,17890,00:10:00.600,18018
199,00:10:00.600,18018,00:10:09.100,18273
200,00:10:09.100,18273,00:10:20.133,18604
201,00:10:20.133,18604,00:10:26.867,18806
202,00:10:26.867,18806,00:10:28.867,18866
203,00:10:28.867,18866,00:10:31.867,18956
204,00:10:31.867,18956,00:10:36.400,19092
205,00:10:36.400,19092,00:10:42.900,19287
206,00:10:42.900,19287,00:10:47.400,19422
207,00:10:47.400,19422,00:10:50.400,19512
208,00:10:50.400,19512,00:10:54.867,19646
209,00:10:54.867,19646,00:10:58.367,19751
210,00:10:58.367,19751,00:11:00.867,19826
211,00:11:00.867,19826,00:11:09.367,20081
212,00:11:09.367,20081,00:11:12.867,20186
213,00:11:12.867,20186,00:11:16.267,20288
