Scene #, Start Time, Start Frame, End Time, End Frame
1,00:00:00.000,0,00:00:01.800,54
2,00:00:01.800,54,00:00:02.867,86
3,00:00:02.867,86,00:00:03.867,116
4,00:00:03.867,116,00:00:04.800,144
5,00:00:04.800,144,00:00:05.800,174
6,00:00:05.800,174,00:00:06.667,200
7,00:00:06.667,200,00:00:07.467,224
8,00:00:07.467,224,00:00:08.500,255
9,00:00:08.500,255,00:00:09.467,284
10,00:00:09.467,284,00:00:14.100,423
11,00:00:14.100,423,00:00:15.167,455
12,00:00:15.167,455,00:00:22.567,677
13,00:00:22.567,677,00:00:24.600,738
14,00:00:24.600,738,00:00:29.233,877
15,00:00:29.233,877,00:00:37.867,1136
16,00:00:37.867,1136,00:00:39.067,1172
17,00:00:39.067,1172,00:00:45.100,1353
18,00:00:45.100,1353,00:00:47.000,1410
19,00:00:47.000,1410,00:00:48.333,1450
20,00:00:48.333,1450,00:01:37.233,2917
21,00:01:37.233,2917,00:01:51.067,3332
22,00:01:51.067,3332,00:01:54.333,3430
23,00:01:54.333,3430,00:01:56.900,3507
24,00:01:56.900,3507,00:01:58.500,3555
25,00:01:58.500,3555,00:02:06.667,3800
26,00:02:06.667,3800,00:02:09.633,3889
27,00:02:09.633,3889,00:02:16.000,4080
28,00:02:16.000,4080,00:02:18.233,4147
29,00:02:18.233,4147,00:02:21.100,4233
30,00:02:21.100,4233,00:02:24.367,4331
31,00:02:24.367,4331,00:02:27.067,4412
32,00:02:27.067,4412,00:02:28.567,4457
33,00:02:28.567,4457,00:02:33.867,4616
34,00:02:33.867,4616,00:02:36.067,4682
35,00:02:36.067,4682,00:02:39.833,4795
36,00:02:39.833,4795,00:02:42.667,4880
37,00:02:42.667,4880,00:02:44.067,4922
38,00:02:44.067,4922,00:02:46.233,4987
39,00:02:46.233,4987,00:02:47.000,5010
40,00:02:47.000,5010,00:02:48.533,5056
41,00:02:48.533,5056,00:02:53.467,5204
42,00:02:53.467,5204,00:02:56.100,5283
43,00:02:56.100,5283,00:02:56.833,5305
44,00:02:56.833,5305,00:02:59.933,5398
45,00:02:59.933,5398,00:03:03.167,5495
46,00:03:03.167,5495,00:03:05.367,5561
47,00:03:05.367,5561,00:03:14.233,5827
48,00:03:14.233,5827,00:03:20.067,6002
49,00:03:20.067,6002,00:03:26.300,6189
50,00:03:26.300,6189,00:03:28.633,6259
51,00:03:28.633,6259,00:03:37.800,6534
52,00:03:37.800,6534,00:03:40.733,6622
53,00:03:40.733,6622,00:03:43.667,6710
54,00:03:43.667,6710,00:03:45.167,6755
55,00:03:45.167,6755,00:03:53.300,6999
56,00:03:53.300,6999,00:03:57.233,7117
57,00:03:57.233,7117,00:04:01.700,7251
58,00:04:01.700,7251,00:04:05.233,7357
59,00:04:05.233,7357,00:04:08.400,7452
60,00:04:08.400,7452,00:04:15.000,7650
61,00:04:15.000,7650,00:04:19.233,7777
62,00:04:19.233,7777,00:04:20.500,7815
63,00:04:20.500,7815,00:04:26.300,7989
64,00:04:26.300,7989,00:04:29.767,8093
65,00:04:29.767,8093,00:04:31.233,8137
66,00:04:31.233,8137,00:04:34.700,8241
67,00:04:34.700,8241,00:04:41.600,8448
68,00:04:41.600,8448,00:04:43.100,8493
69,00:04:43.100,8493,00:04:45.033,8551
70,00:04:45.033,8551,00:04:53.667,8810
71,00:04:53.667,8810,00:04:55.667,8870
72,00:04:55.667,8870,00:05:04.633,9139
73,00:05:04.633,9139,00:05:09.400,9282
74,00:05:09.400,9282,00:05:18.600,9558
75,00:05:18.600,9558,00:05:20.700,9621
76,00:05:20.700,9621,00:05:23.233,9697
77,00:05:23.233,9697,00:05:34.867,10046
78,00:05:34.867,10046,00:05:41.667,10250
79,00:05:41.667,10250,00:05:43.467,10304
80,00:05:43.467,10304,00:05:47.467,10424
81,00:05:47.467,10424,00:06:02.000,10860
82,00:06:02.000,10860,00:06:16.367,11291
83,00:06:16.367,11291,00:06:37.300,11919
84,00:06:37.300,11919,00:06:42.767,12083
85,00:06:42.767,12083,00:06:56.067,12482
86,00:06:56.067,12482,00:07:00.300,12609
87,00:07:00.300,12609,00:07:05.000,12750
88,00:07:05.000,12750,00:07:11.133,12934
89,00:07:11.133,12934,00:07:12.267,12968
90,00:07:12.267,12968,00:07:14.233,13027
91,00:07:14.233,13027,00:07:16.467,13094
92,00:07:16.467,13094,00:07:25.900,13377
93,00:07:25.900,13377,00:07:30.833,13525
94,00:07:30.833,13525,00:07:34.033,13621
95,00:07:34.033,13621,00:07:45.367,13961
96,00:07:45.367,13961,00:07:47.967,14039
97,00:07:47.967,14039,00:07:53.133,14194
98,00:07:53.133,14194,00:07:59.033,14371
99,00:07:59.033,14371,00:08:05.767,14573
100,00:08:05.767,14573,00:08:11.433,14743
101,00:08:11.433,14743,00:08:20.500,15015
102,00:08:20.500,15015,00:08:21.867,15056
103,00:08:21.867,15056,00:08:34.167,15425
104,00:08:34.167,15425,00:08:42.267,15668
105,00:08:42.267,15668,00:08:51.900,15957
106,00:08:51.900,15957,00:08:53.433,16003
107,00:08:53.433,16003,00:08:58.633,16159
108,00:08:58.633,16159,00:09:00.533,16216
109,00:09:00.533,16216,00:09:04.633,16339
110,00:09:04.633,16339,00:09:05.967,16379
111,00:09:05.967,16379,00:09:07.833,16435
112,00:09:07.833,16435,00:09:28.367,17051
